gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 9700, al: 9.67e-02, cl: 2.33e-01, trSpan: -19.0671, trEntropy: 0.91, teSpan: -19.2039, tr_step: 3880400, time: 302.14
epi: 9800, al: 2.38e-01, cl: 2.35e-01, trSpan: -19.0654, trEntropy: 0.91, teSpan: -19.1423, tr_step: 3920400, time: 297.86
epi: 9900, al: 2.92e-02, cl: 2.83e-01, trSpan: -19.3643, trEntropy: 0.88, teSpan: -19.3927, tr_step: 3960400, time: 297.47
epi: 10000, al: -1.63e-01, cl: 3.52e-01, trSpan: -19.3669, trEntropy: 0.89, teSpan: -19.2717, tr_step: 4000400, time: 299.42
epi: 10100, al: -1.44e-01, cl: 2.88e-01, trSpan: -19.5442, trEntropy: 0.91, teSpan: -19.4500, tr_step: 4040400, time: 302.14
epi: 10200, al: 3.31e-03, cl: 2.78e-01, trSpan: -19.3135, trEntropy: 0.91, teSpan: -19.3291, tr_step: 4080400, time: 295.60
epi: 10300, al: 5.40e-02, cl: 2.55e-01, trSpan: -19.2665, trEntropy: 0.91, teSpan: -19.1861, tr_step: 4120400, time: 297.24
epi: 10400, al: -1.10e-01, cl: 2.89e-01, trSpan: -19.2115, trEntropy: 0.90, teSpan: -19.1326, tr_step: 4160400, time: 302.18
epi: 10500, al: -2.80e-02, cl: 2.49e-01, trSpan: -19.3179, trEntropy: 0.89, teSpan: -19.2165, tr_step: 4200400, time: 298.64
epi: 10600, al: -9.61e-03, cl: 2.18e-01, trSpan: -19.0013, trEntropy: 0.89, teSpan: -19.1474, tr_step: 4240400, time: 295.62
epi: 10700, al: 1.14e-01, cl: 2.36e-01, trSpan: -19.3076, trEntropy: 0.88, teSpan: -19.1273, tr_step: 4280400, time: 299.10
epi: 10800, al: 5.96e-02, cl: 2.94e-01, trSpan: -19.1454, trEntropy: 0.89, teSpan: -19.1174, tr_step: 4320400, time: 300.98
epi: 10900, al: -1.73e-01, cl: 2.90e-01, trSpan: -19.3010, trEntropy: 0.89, teSpan: -19.1855, tr_step: 4360400, time: 301.01
epi: 11000, al: -2.33e-01, cl: 2.78e-01, trSpan: -19.2148, trEntropy: 0.91, teSpan: -19.1103, tr_step: 4400400, time: 295.21
epi: 11100, al: 1.28e-01, cl: 2.21e-01, trSpan: -18.9703, trEntropy: 0.91, teSpan: -19.1619, tr_step: 4440400, time: 300.73
epi: 11200, al: -9.88e-02, cl: 2.30e-01, trSpan: -19.2944, trEntropy: 0.89, teSpan: -19.2462, tr_step: 4480400, time: 296.05
epi: 11300, al: 9.24e-02, cl: 2.26e-01, trSpan: -19.3192, trEntropy: 0.90, teSpan: -19.2421, tr_step: 4520400, time: 299.65
epi: 11400, al: 3.05e-02, cl: 2.15e-01, trSpan: -19.1550, trEntropy: 0.92, teSpan: -19.2011, tr_step: 4560400, time: 297.53
epi: 11500, al: 3.63e-02, cl: 2.12e-01, trSpan: -19.1141, trEntropy: 0.91, teSpan: -19.1751, tr_step: 4600400, time: 298.30
epi: 11600, al: 4.29e-02, cl: 2.09e-01, trSpan: -19.0815, trEntropy: 0.90, teSpan: -19.1342, tr_step: 4640400, time: 298.73
epi: 11700, al: -4.62e-02, cl: 2.56e-01, trSpan: -19.1799, trEntropy: 0.89, teSpan: -19.1360, tr_step: 4680400, time: 293.92
epi: 11800, al: -2.66e-01, cl: 3.03e-01, trSpan: -19.2796, trEntropy: 0.84, teSpan: -19.1210, tr_step: 4720400, time: 297.83
epi: 11900, al: -7.89e-02, cl: 2.75e-01, trSpan: -19.0767, trEntropy: 0.84, teSpan: -19.1636, tr_step: 4760400, time: 303.98
epi: 12000, al: -7.60e-03, cl: 2.26e-01, trSpan: -19.2064, trEntropy: 0.84, teSpan: -19.1539, tr_step: 4800400, time: 301.90
epi: 12100, al: 4.35e-02, cl: 2.31e-01, trSpan: -19.0835, trEntropy: 0.86, teSpan: -19.1318, tr_step: 4840400, time: 304.29
epi: 12200, al: -1.53e-02, cl: 2.50e-01, trSpan: -19.2743, trEntropy: 0.85, teSpan: -19.1462, tr_step: 4880400, time: 300.71
epi: 12300, al: -1.79e-01, cl: 3.24e-01, trSpan: -19.2133, trEntropy: 0.84, teSpan: -19.1280, tr_step: 4920400, time: 301.24
epi: 12400, al: -8.18e-02, cl: 2.46e-01, trSpan: -19.0964, trEntropy: 0.83, teSpan: -19.1708, tr_step: 4960400, time: 296.26
epi: 12500, al: 9.97e-02, cl: 2.27e-01, trSpan: -19.0035, trEntropy: 0.82, teSpan: -19.1450, tr_step: 5000400, time: 295.02
epi: 12600, al: 2.44e-01, cl: 2.59e-01, trSpan: -19.0465, trEntropy: 0.83, teSpan: -19.1861, tr_step: 5040400, time: 299.79
epi: 12700, al: -7.57e-02, cl: 2.42e-01, trSpan: -19.2651, trEntropy: 0.82, teSpan: -19.2028, tr_step: 5080400, time: 300.23
epi: 12800, al: -1.91e-01, cl: 2.95e-01, trSpan: -19.2163, trEntropy: 0.82, teSpan: -19.2702, tr_step: 5120400, time: 301.71
epi: 12900, al: -2.29e-01, cl: 2.69e-01, trSpan: -19.2640, trEntropy: 0.82, teSpan: -19.2160, tr_step: 5160400, time: 298.80
epi: 13000, al: -1.11e-01, cl: 2.49e-01, trSpan: -19.4287, trEntropy: 0.78, teSpan: -19.4644, tr_step: 5200400, time: 297.23
epi: 13100, al: -3.02e-02, cl: 2.37e-01, trSpan: -19.2700, trEntropy: 0.82, teSpan: -19.2419, tr_step: 5240400, time: 299.88
epi: 13200, al: 3.99e-02, cl: 2.47e-01, trSpan: -19.1699, trEntropy: 0.80, teSpan: -19.1295, tr_step: 5280400, time: 295.01
epi: 13300, al: 1.40e-01, cl: 2.34e-01, trSpan: -19.1091, trEntropy: 0.81, teSpan: -19.1439, tr_step: 5320400, time: 298.93
epi: 13400, al: 3.82e-02, cl: 2.31e-01, trSpan: -19.1941, trEntropy: 0.80, teSpan: -19.2004, tr_step: 5360400, time: 304.05
epi: 13500, al: 5.12e-02, cl: 3.02e-01, trSpan: -19.2297, trEntropy: 0.80, teSpan: -19.1675, tr_step: 5400400, time: 305.32
epi: 13600, al: -8.04e-03, cl: 2.59e-01, trSpan: -19.0791, trEntropy: 0.82, teSpan: -19.1403, tr_step: 5440400, time: 301.89
epi: 13700, al: 1.21e-01, cl: 2.35e-01, trSpan: -19.0347, trEntropy: 0.81, teSpan: -19.1318, tr_step: 5480400, time: 297.71
epi: 13800, al: 1.45e-01, cl: 2.20e-01, trSpan: -19.0136, trEntropy: 0.82, teSpan: -19.1196, tr_step: 5520400, time: 300.05
epi: 13900, al: -1.33e-01, cl: 2.29e-01, trSpan: -19.0587, trEntropy: 0.81, teSpan: -19.1606, tr_step: 5560400, time: 302.91
epi: 14000, al: 5.85e-02, cl: 1.87e-01, trSpan: -19.0946, trEntropy: 0.81, teSpan: -19.1536, tr_step: 5600400, time: 298.74
epi: 14100, al: 2.64e-02, cl: 2.13e-01, trSpan: -19.1625, trEntropy: 0.83, teSpan: -19.1474, tr_step: 5640400, time: 300.53
epi: 14200, al: -1.01e-01, cl: 2.13e-01, trSpan: -19.1118, trEntropy: 0.84, teSpan: -19.1121, tr_step: 5680400, time: 301.24
