gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 6200, al: -4.48e-02, cl: 1.44e-01, trSpan: -9.4775, trEntropy: 0.55, teSpan: -9.4496, tr_step: 620100, time: 3.16
epi: 6300, al: -4.47e-02, cl: 1.11e-01, trSpan: -9.4628, trEntropy: 0.53, teSpan: -9.4083, tr_step: 630100, time: 3.13
epi: 6400, al: 6.60e-02, cl: 1.19e-01, trSpan: -9.3615, trEntropy: 0.53, teSpan: -9.3823, tr_step: 640100, time: 3.19
epi: 6500, al: 2.67e-02, cl: 1.41e-01, trSpan: -9.4332, trEntropy: 0.51, teSpan: -9.4112, tr_step: 650100, time: 3.20
epi: 6600, al: 1.38e-02, cl: 1.22e-01, trSpan: -9.4371, trEntropy: 0.51, teSpan: -9.4352, tr_step: 660100, time: 3.18
epi: 6700, al: 5.10e-03, cl: 1.22e-01, trSpan: -9.4742, trEntropy: 0.52, teSpan: -9.4055, tr_step: 670100, time: 3.16
epi: 6800, al: -3.68e-02, cl: 1.69e-01, trSpan: -9.5075, trEntropy: 0.48, teSpan: -9.4097, tr_step: 680100, time: 3.20
epi: 6900, al: 1.15e-02, cl: 1.10e-01, trSpan: -9.3651, trEntropy: 0.45, teSpan: -9.4240, tr_step: 690100, time: 3.17
epi: 7000, al: -2.77e-02, cl: 1.20e-01, trSpan: -9.3857, trEntropy: 0.47, teSpan: -9.4664, tr_step: 700100, time: 3.10
epi: 7100, al: -7.62e-02, cl: 1.68e-01, trSpan: -9.5505, trEntropy: 0.41, teSpan: -9.4301, tr_step: 710100, time: 3.16
epi: 7200, al: -4.54e-02, cl: 1.44e-01, trSpan: -9.5064, trEntropy: 0.40, teSpan: -9.4096, tr_step: 720100, time: 3.16
epi: 7300, al: -6.46e-02, cl: 1.60e-01, trSpan: -9.4345, trEntropy: 0.40, teSpan: -9.4211, tr_step: 730100, time: 3.13
epi: 7400, al: -3.59e-02, cl: 1.49e-01, trSpan: -9.4539, trEntropy: 0.42, teSpan: -9.4102, tr_step: 740100, time: 3.15
epi: 7500, al: -2.58e-02, cl: 1.42e-01, trSpan: -9.4398, trEntropy: 0.43, teSpan: -9.4003, tr_step: 750100, time: 3.19
epi: 7600, al: -2.60e-02, cl: 1.59e-01, trSpan: -9.5528, trEntropy: 0.46, teSpan: -9.4638, tr_step: 760100, time: 3.19
epi: 7700, al: 2.48e-02, cl: 1.14e-01, trSpan: -9.2679, trEntropy: 0.47, teSpan: -9.3791, tr_step: 770100, time: 3.10
epi: 7800, al: -2.42e-02, cl: 1.32e-01, trSpan: -9.2582, trEntropy: 0.46, teSpan: -9.3752, tr_step: 780100, time: 3.14
epi: 7900, al: 7.98e-02, cl: 1.17e-01, trSpan: -9.3195, trEntropy: 0.49, teSpan: -9.3927, tr_step: 790100, time: 3.15
epi: 8000, al: 2.50e-02, cl: 1.43e-01, trSpan: -9.3666, trEntropy: 0.48, teSpan: -9.3880, tr_step: 800100, time: 3.17
epi: 8100, al: -8.11e-02, cl: 1.83e-01, trSpan: -9.4911, trEntropy: 0.45, teSpan: -9.3994, tr_step: 810100, time: 3.13
epi: 8200, al: -3.58e-02, cl: 1.39e-01, trSpan: -9.3345, trEntropy: 0.44, teSpan: -9.4127, tr_step: 820100, time: 3.14
epi: 8300, al: 3.49e-02, cl: 1.35e-01, trSpan: -9.4918, trEntropy: 0.45, teSpan: -9.4408, tr_step: 830100, time: 3.12
